sample_name	model	auroc	auprc	short_name
FFG_GZ_T_24h-F	mobsnvf	0.600909634484128	0.975437688133564	SEQC2_WGS_04
FFG_GZ_T_24h-F	sobdetector	0.614724938872792	0.975233966377319	SEQC2_WGS_04
FFG_GZ_T_24h-F	vafsnvf	0.889250892796983	0.995105147550516	SEQC2_WGS_04
FFG_GZ_T_2h-A	ffpolish	0.925169822994573	0.994412843379007	SEQC2_WGS_05
FFG_GZ_T_2h-A	gatk-obmm	0.581707368635982	0.944434558366072	SEQC2_WGS_05
FFG_GZ_T_2h-A	ideafix-xgboost	0.792551292041589	0.861048049111321	SEQC2_WGS_05
FFG_GZ_T_2h-A	mobsnvf	0.771496305978434	0.967772206068741	SEQC2_WGS_05
FFG_GZ_T_2h-A	sobdetector	0.728903087319116	0.956490960534594	SEQC2_WGS_05
FFG_GZ_T_2h-A	vafsnvf	0.933839732824155	0.99336707138031	SEQC2_WGS_05
FFG_GZ_T_2h-B	ffpolish	0.864331393279965	0.994640008327676	SEQC2_WGS_06
FFG_GZ_T_2h-B	gatk-obmm	0.503015302426945	0.972241818278016	SEQC2_WGS_06
FFG_GZ_T_2h-B	ideafix-xgboost	0.678942852536048	0.900755334318139	SEQC2_WGS_06
FFG_GZ_T_2h-B	mobsnvf	0.598885854143753	0.976734972826437	SEQC2_WGS_06
FFG_GZ_T_2h-B	sobdetector	0.648682739866998	0.978826188506037	SEQC2_WGS_06
FFG_GZ_T_2h-B	vafsnvf	0.875260371795968	0.994806915817237	SEQC2_WGS_06
FFG_GZ_T_6h-A	ffpolish	0.891515108883371	0.994881179685142	SEQC2_WGS_07
FFG_GZ_T_6h-A	gatk-obmm	0.52595361685336	0.965600337719904	SEQC2_WGS_07
FFG_GZ_T_6h-A	ideafix-xgboost	0.700422797468788	0.888148425322556	SEQC2_WGS_07
FFG_GZ_T_6h-A	mobsnvf	0.674223168248483	0.974819186134433	SEQC2_WGS_07
FFG_GZ_T_6h-A	sobdetector	0.640998512712405	0.970545229459118	SEQC2_WGS_07
FFG_GZ_T_6h-A	vafsnvf	0.892298666365185	0.994009393879974	SEQC2_WGS_07
FFG_GZ_T_6h-B	ffpolish	0.878757841567013	0.995316745271684	SEQC2_WGS_08
FFG_GZ_T_6h-B	gatk-obmm	0.50606624919308	0.971916741465466	SEQC2_WGS_08
FFG_GZ_T_6h-B	ideafix-xgboost	0.647498541737177	0.893812580097614	SEQC2_WGS_08
FFG_GZ_T_6h-B	mobsnvf	0.565049678305475	0.974098492996295	SEQC2_WGS_08
FFG_GZ_T_6h-B	sobdetector	0.617785055555113	0.97554167277767	SEQC2_WGS_08
FFG_GZ_T_6h-B	vafsnvf	0.876065618204437	0.994716301221868	SEQC2_WGS_08
FFG_IL_T_1h	ffpolish	0.876471633037734	0.995712327853524	SEQC2_WGS_09
FFG_IL_T_1h	gatk-obmm	0.510637334712293	0.972868503605243	SEQC2_WGS_09
