sample	cutoff	precision	recall	specificity	1-PPV	TP	TN	FP	FN	log(q-cut)	log(1-PPV)
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.5353644939701166e-8	0.4634146341463415	1.0	0.42105263157894735	0.5365853658536586	19	16	22	0	-17.49034333264164	-0.6225296133459919
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.678379771828634e-8	0.4418604651162791	1.0	0.3684210526315789	0.5581395348837209	19	14	24	0	-17.11820836811735	-0.5831462853456169
947ba7d2-ef4b-4908-be9c-3451646f7d36	5.336699231206324e-8	0.40425531914893614	1.0	0.2631578947368421	0.5957446808510638	19	10	28	0	-16.74607340359306	-0.5179430915348547
947ba7d2-ef4b-4908-be9c-3451646f7d36	7.742636826811277e-8	0.3958333333333333	1.0	0.23684210526315788	0.6041666666666667	19	9	29	0	-16.37393843906877	-0.5039051809214168
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.1233240329780311e-7	0.38	1.0	0.18421052631578946	0.62	19	7	31	0	-16.001803474544477	-0.4780358009429998
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.6297508346206468e-7	0.37254901960784315	1.0	0.15789473684210525	0.6274509803921569	19	6	32	0	-15.629668510020187	-0.46608972992459924
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.3644894126454072e-7	0.37254901960784315	1.0	0.15789473684210525	0.6274509803921569	19	6	32	0	-15.2575335454959	-0.46608972992459924
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.430469286314926e-7	0.37254901960784315	1.0	0.15789473684210525	0.6274509803921569	19	6	32	0	-14.885398580971605	-0.46608972992459924
947ba7d2-ef4b-4908-be9c-3451646f7d36	4.977023564332114e-7	0.36538461538461536	1.0	0.13157894736842105	0.6346153846153846	19	5	33	0	-14.513263616447318	-0.4547361571149472
947ba7d2-ef4b-4908-be9c-3451646f7d36	7.220809018385485e-7	0.3584905660377358	1.0	0.10526315789473684	0.6415094339622642	19	4	34	0	-14.141128651923026	-0.44393138893596035
