sample	cutoff	precision	recall	specificity	1-PPV	TP	TN	FP	FN	log(q-cut)	log(1-PPV)
FFPE-Colon-Tumoral_B00GXLQ	3.853528593710535e-14	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-30.887202055516084	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	5.590810182512223e-14	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-30.5150670909918	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	8.111308307896889e-14	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-30.142932126467503	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	1.176811952434999e-13	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-29.770797161943218	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	1.7073526474706888e-13	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-29.39866219741893	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	2.477076355991714e-13	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-29.026527232894637	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	3.593813663804626e-13	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-28.654392268370348	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	5.214008287999695e-13	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-28.282257303846055	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	7.564633275546291e-13	0.9230769230769231	0.8888888888888888	0.696969696969697	0.07692307692307687	120	23	10	15	-27.910122339321767	-2.564949357461537
FFPE-Colon-Tumoral_B00GXLQ	1.097498765493059e-12	0.916030534351145	0.8888888888888888	0.6666666666666666	0.08396946564885499	120	22	11	15	-27.537987374797474	-2.4773020504027805
FFPE-Colon-Tumoral_B00GXLQ	1.5922827933410938e-12	0.916030534351145	0.8888888888888888	0.6666666666666666	0.08396946564885499	120	22	11	15	-27.165852410273185	-2.4773020504027805
FFPE-Colon-Tumoral_B00GXLQ	2.310129700083158e-12	0.9166666666666666	0.8962962962962963	0.6666666666666666	0.08333333333333337	121	22	11	14	-26.793717445748896	-2.484906649788
FFPE-Colon-Tumoral_B00GXLQ	3.3516026509388475e-12	0.9166666666666666	0.8962962962962963	0.6666666666666666	0.08333333333333337	121	22	11	14	-26.421582481224604	-2.484906649788
FFPE-Colon-Tumoral_B00GXLQ	4.8626015800653536e-12	0.9166666666666666	0.8962962962962963	0.6666666666666666	0.08333333333333337	121	22	11	14	-26.049447516700315	-2.484906649788
FFPE-Colon-Tumoral_B00GXLQ	7.054802310718631e-12	0.9104477611940298	0.9037037037037037	0.6363636363636364	0.08955223880597019	122	21	12	13	-25.677312552176026	-2.4129331501629108
FFPE-Colon-Tumoral_B00GXLQ	1.0235310218990269e-11	0.9104477611940298	0.9037037037037037	0.6363636363636364	0.08955223880597019	122	21	12	13	-25.305177587651734	-2.4129331501629108
FFPE-Colon-Tumoral_B00GXLQ	1.4849682622544695e-11	0.8970588235294118	0.9037037037037037	0.5757575757575758	0.1029411764705882	122	19	14	13	-24.93304262312744	-2.2735975561207935
FFPE-Colon-Tumoral_B00GXLQ	2.1544346900318868e-11	0.8905109489051095	0.9037037037037037	0.5454545454545454	0.10948905109489049	122	18	15	13	-24.560907658603153	-2.211930724725915
FFPE-Colon-Tumoral_B00GXLQ	3.125715849688235e-11	0.8905109489051095	0.9037037037037037	0.5454545454545454	0.10948905109489049	122	18	15	13	-24.188772694078864	-2.211930724725915
