sample_name	model	auroc	auprc	workflow_type	workflow_type_right
184b283e-621f-4adb-8b9a-bec00716b5ec	SOBDetector	0.792466264599646	0.0832629492922232	SomaticSniper	SomaticSniper
184b283e-621f-4adb-8b9a-bec00716b5ec	VAFSNVF	0.290922836855084	0.020302019208309	SomaticSniper	SomaticSniper
18521cc7-e72c-41be-8f07-daedc2c5572d	MicroSEC	0.603838087248322	0.546794142326948	VarScan2	VarScan2
18521cc7-e72c-41be-8f07-daedc2c5572d	MOBSNVF	0.80493265993266	0.737963973043564	VarScan2	VarScan2
18521cc7-e72c-41be-8f07-daedc2c5572d	SOBDetector	0.704367631296889	0.583102324611336	VarScan2	VarScan2
18521cc7-e72c-41be-8f07-daedc2c5572d	VAFSNVF	0.6926936026936	0.663957738246657	VarScan2	VarScan2
1951a1ab-acf1-4656-abef-febd0a9ec30c	MicroSEC	0.579343181394288	0.0929416179065127	SomaticSniper	SomaticSniper
1951a1ab-acf1-4656-abef-febd0a9ec30c	MOBSNVF	0.692207223209	0.187741595783434	SomaticSniper	SomaticSniper
1951a1ab-acf1-4656-abef-febd0a9ec30c	SOBDetector	0.689746752147902	0.12030383819637	SomaticSniper	SomaticSniper
1951a1ab-acf1-4656-abef-febd0a9ec30c	VAFSNVF	0.375232682060384	0.0581594116699867	SomaticSniper	SomaticSniper
19af3825-ef0f-432b-b7d9-fcd1ad306b81	MicroSEC	0.524130695443644	0.217970262058512	VarScan2	VarScan2
19af3825-ef0f-432b-b7d9-fcd1ad306b81	MOBSNVF	0.72356164383562	0.356095193915745	VarScan2	VarScan2
19af3825-ef0f-432b-b7d9-fcd1ad306b81	SOBDetector	0.726548885115508	0.24879570435571	VarScan2	VarScan2
19af3825-ef0f-432b-b7d9-fcd1ad306b81	VAFSNVF	0.62004566210046	0.26978190161931	VarScan2	VarScan2
1a9ca0a1-86f0-4890-a145-9928376e3fc6	MicroSEC	0.486842105263157	0.552325874319002	MuTect2	MuTect2
1a9ca0a1-86f0-4890-a145-9928376e3fc6	MOBSNVF	0.820175438596493	0.894552055618274	MuTect2	MuTect2
1a9ca0a1-86f0-4890-a145-9928376e3fc6	SOBDetector	0.749219725343321	0.844642424285565	MuTect2	MuTect2
1a9ca0a1-86f0-4890-a145-9928376e3fc6	VAFSNVF	0.843859649122817	0.817493589666878	MuTect2	MuTect2
1b3b0057-c99c-4cdf-9fe0-501d5d297321	MicroSEC	0.466410594323554	0.077008418654558	VarScan2	VarScan2
1b3b0057-c99c-4cdf-9fe0-501d5d297321	MOBSNVF	0.7682769726248	0.228928770722735	VarScan2	VarScan2
1b3b0057-c99c-4cdf-9fe0-501d5d297321	SOBDetector	0.72135135135134	0.128550323499528	VarScan2	VarScan2
1b3b0057-c99c-4cdf-9fe0-501d5d297321	VAFSNVF	0.667055823939884	0.150381825500253	VarScan2	VarScan2
1c59963c-03b2-4ea9-939c-6f17b1606686	MicroSEC	0.489620106621675	0.0127431147358204	VarScan2	VarScan2
1c59963c-03b2-4ea9-939c-6f17b1606686	MOBSNVF	0.863036264597751	0.0582320234502911	VarScan2	VarScan2
1c59963c-03b2-4ea9-939c-6f17b1606686	SOBDetector	0.679805892849426	0.0156176424488289	VarScan2	VarScan2
1c59963c-03b2-4ea9-939c-6f17b1606686	VAFSNVF	0.834832531358129	0.048993585096439	VarScan2	VarScan2
1d057b2b-e362-4f9c-84ab-f389ee9581c0	MicroSEC	0.582692307692309	0.600825865310698	MuSE	MuSE
1d057b2b-e362-4f9c-84ab-f389ee9581c0	MOBSNVF	0.605917667238424	0.618639248558571	MuSE	MuSE
1d057b2b-e362-4f9c-84ab-f389ee9581c0	SOBDetector	0.587127272727273	0.58457392936465	MuSE	MuSE
1d057b2b-e362-4f9c-84ab-f389ee9581c0	VAFSNVF	0.834619782732989	0.824932067671651	MuSE	MuSE
1db7cb30-c1de-43d4-831a-2b1ce399b51a	MicroSEC	0.541701862493941	0.118060582796455	SomaticSniper	SomaticSniper
1db7cb30-c1de-43d4-831a-2b1ce399b51a	MOBSNVF	0.756610675895235	0.265226661690157	SomaticSniper	SomaticSniper
1db7cb30-c1de-43d4-831a-2b1ce399b51a	SOBDetector	0.797989099183857	0.326021940368307	SomaticSniper	SomaticSniper
1db7cb30-c1de-43d4-831a-2b1ce399b51a	VAFSNVF	0.468987327682639	0.105687749590597	SomaticSniper	SomaticSniper
211e5178-0c71-44da-b9bb-b138642efc85	MicroSEC	0.532505085730891	0.281713383711467	VarScan2	VarScan2
211e5178-0c71-44da-b9bb-b138642efc85	MOBSNVF	0.875468591691995	0.702038739254326	VarScan2	VarScan2
211e5178-0c71-44da-b9bb-b138642efc85	SOBDetector	0.636384383211796	0.33472857920523	VarScan2	VarScan2
211e5178-0c71-44da-b9bb-b138642efc85	VAFSNVF	0.737006079027356	0.502754703419738	VarScan2	VarScan2
224f5052-e7fd-48f7-bc26-57254af8696d	MicroSEC	0.485314221382331	0.255997879851839	VarScan2	VarScan2
224f5052-e7fd-48f7-bc26-57254af8696d	MOBSNVF	0.790098954022115	0.512811557339929	VarScan2	VarScan2
224f5052-e7fd-48f7-bc26-57254af8696d	SOBDetector	0.608570565800468	0.247962558176814	VarScan2	VarScan2
224f5052-e7fd-48f7-bc26-57254af8696d	VAFSNVF	0.818355406727368	0.614939195292907	VarScan2	VarScan2
22e2f262-51b8-4617-b719-6720e86f5edf	MicroSEC	0.61861883153715	0.484940292183283	VarScan2	VarScan2
22e2f262-51b8-4617-b719-6720e86f5edf	MOBSNVF	0.871590674644118	0.76753175033784	VarScan2	VarScan2
22e2f262-51b8-4617-b719-6720e86f5edf	SOBDetector	0.695715889249189	0.687970044835539	VarScan2	VarScan2
22e2f262-51b8-4617-b719-6720e86f5edf	VAFSNVF	0.751722715081495	0.59510630536984	VarScan2	VarScan2
23f3c15d-21c2-43b6-8793-e1432c6f51f6	MicroSEC	0.637445666213644	0.113564123381653	SomaticSniper	SomaticSniper
23f3c15d-21c2-43b6-8793-e1432c6f51f6	MOBSNVF	0.847387993559542	0.361216504953494	SomaticSniper	SomaticSniper
23f3c15d-21c2-43b6-8793-e1432c6f51f6	SOBDetector	0.772772303792406	0.231092815254497	SomaticSniper	SomaticSniper
23f3c15d-21c2-43b6-8793-e1432c6f51f6	VAFSNVF	0.33447844808485	0.0632031700614996	SomaticSniper	SomaticSniper
2422a154-f7f4-4509-9e1a-b814086fcc0e	MicroSEC	0.523824386183938	0.195185125074936	VarScan2	VarScan2
2422a154-f7f4-4509-9e1a-b814086fcc0e	MOBSNVF	0.791823683910017	0.372458139611903	VarScan2	VarScan2
2422a154-f7f4-4509-9e1a-b814086fcc0e	SOBDetector	0.67652371603523	0.150715761768875	VarScan2	VarScan2
2422a154-f7f4-4509-9e1a-b814086fcc0e	VAFSNVF	0.736011191047163	0.352568594142809	VarScan2	VarScan2
24810eda-8a47-4001-8283-b4b0d72f003f	MicroSEC	0.558791689013368	0.255768892812371	VarScan2	VarScan2
24810eda-8a47-4001-8283-b4b0d72f003f	MOBSNVF	0.901938437560883	0.778128580888246	VarScan2	VarScan2
24810eda-8a47-4001-8283-b4b0d72f003f	SOBDetector	0.589267528138929	0.217392658835951	VarScan2	VarScan2
24810eda-8a47-4001-8283-b4b0d72f003f	VAFSNVF	0.827415741281902	0.741329040650965	VarScan2	VarScan2
24eda4a0-d974-4c6a-b745-b8e12a93576e	MicroSEC	0.53125	0.848484848484865	MuSE	MuSE
24eda4a0-d974-4c6a-b745-b8e12a93576e	MOBSNVF	0.557291666666669	0.856393618863649	MuSE	MuSE
24eda4a0-d974-4c6a-b745-b8e12a93576e	SOBDetector	0.560414048317275	0.899121947575399	MuSE	MuSE
24eda4a0-d974-4c6a-b745-b8e12a93576e	VAFSNVF	0.438988095238096	0.792454536070083	MuSE	MuSE
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	MicroSEC	0.5	0.794117647058831	MuTect2	MuTect2
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	MOBSNVF	1.0	1.0	MuTect2	MuTect2
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	SOBDetector	0.822478991596638	0.938695129635963	MuTect2	MuTect2
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	VAFSNVF	1.0	1.0	MuTect2	MuTect2
2657b8e5-02e7-4beb-969c-cd91ce6cfc3a	MicroSEC	0.529772727272722	0.0896144589389873	VarScan2	VarScan2
2657b8e5-02e7-4beb-969c-cd91ce6cfc3a	MOBSNVF	0.854202489150904	0.34894752965192	VarScan2	VarScan2
2657b8e5-02e7-4beb-969c-cd91ce6cfc3a	SOBDetector	0.799351943599727	0.148545304447966	VarScan2	VarScan2
2657b8e5-02e7-4beb-969c-cd91ce6cfc3a	VAFSNVF	0.735630066322771	0.311880404912525	VarScan2	VarScan2
29e68a40-cf28-4e5e-b646-b9119d6f2f75	MicroSEC	0.580808080808081	0.330740457481685	MuSE	MuSE
