"case_id"	"wtype"	"vcf_fid"	"model"	"auroc"	"auprc"
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e"	"sobdetector"	0.671874401745949	0.377396709236371
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e"	"microsec"	0.386851811672817	0.260685572083951
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"cf1f5ad2-bc10-4021-a904-e190649ac4e9"	"mobsnvf"	0.878364458775584	0.779684724391002
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"cf1f5ad2-bc10-4021-a904-e190649ac4e9"	"vafsnvf"	0.588694591717566	0.455077727497857
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"cf1f5ad2-bc10-4021-a904-e190649ac4e9"	"sobdetector"	0.686592461683144	0.376859448440102
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"cf1f5ad2-bc10-4021-a904-e190649ac4e9"	"microsec"	0.407946547607974	0.259269715674574
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"0098d9ec-7eec-4d1f-a3bc-f4d6e790e0de"	"mobsnvf"	0.869810684555026	0.709900437181221
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"0098d9ec-7eec-4d1f-a3bc-f4d6e790e0de"	"vafsnvf"	0.529992595466801	0.256781214699559
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"0098d9ec-7eec-4d1f-a3bc-f4d6e790e0de"	"sobdetector"	0.795683174087881	0.523316565163603
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"0098d9ec-7eec-4d1f-a3bc-f4d6e790e0de"	"microsec"	0.51387036814254	0.246982385188309
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"ce8a3d38-7199-4da4-8daf-170e0ae309ef"	"mobsnvf"	0.861803168261636	0.769502804889107
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"ce8a3d38-7199-4da4-8daf-170e0ae309ef"	"vafsnvf"	0.530691953916196	0.348858475969967
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"ce8a3d38-7199-4da4-8daf-170e0ae309ef"	"sobdetector"	0.80408575675928	0.63122461719608
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"somaticsniper"	"ce8a3d38-7199-4da4-8daf-170e0ae309ef"	"microsec"	0.541308185450151	0.360548298928648
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"2fa86a3a-1171-4131-a321-85033e79ec03"	"mobsnvf"	0.812727272727279	0.775911646222303
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"2fa86a3a-1171-4131-a321-85033e79ec03"	"vafsnvf"	0.793333333333337	0.821933077535024
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"2fa86a3a-1171-4131-a321-85033e79ec03"	"sobdetector"	0.674949494949494	0.638784633123324
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"2fa86a3a-1171-4131-a321-85033e79ec03"	"microsec"	0.624242424242425	0.630447871977142
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"f2e266a9-a4e9-40d2-96ed-4465792924ce"	"mobsnvf"	0.702302631578947	0.746003913702986
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"f2e266a9-a4e9-40d2-96ed-4465792924ce"	"vafsnvf"	0.728001644736844	0.818526393707343
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"f2e266a9-a4e9-40d2-96ed-4465792924ce"	"sobdetector"	0.612253289473679	0.733138976156442
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"varscan2"	"f2e266a9-a4e9-40d2-96ed-4465792924ce"	"microsec"	0.641036184210526	0.71855905666777
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"muse"	"ac0b97eb-ada8-413f-aae3-dda66580d52e"	"mobsnvf"	0.870514670514673	0.534423873155956
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"muse"	"ac0b97eb-ada8-413f-aae3-dda66580d52e"	"vafsnvf"	0.751707551707551	0.447696533440895
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"muse"	"ac0b97eb-ada8-413f-aae3-dda66580d52e"	"sobdetector"	0.741798941798944	0.33736532547688
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"muse"	"ac0b97eb-ada8-413f-aae3-dda66580d52e"	"microsec"	0.61938431938432	0.277892982130128
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"mutect2"	"316d70cd-20a9-4d0b-be96-d14d9ad1dd17"	"mobsnvf"	0.91453419968983	0.439063310097679
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"mutect2"	"316d70cd-20a9-4d0b-be96-d14d9ad1dd17"	"vafsnvf"	0.712767616806604	0.137837909717985
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"mutect2"	"316d70cd-20a9-4d0b-be96-d14d9ad1dd17"	"sobdetector"	0.760332548977637	0.141038430933713
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"mutect2"	"316d70cd-20a9-4d0b-be96-d14d9ad1dd17"	"microsec"	0.491964810952452	0.0769641916601268
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"somaticsniper"	"58a0b3bd-11d8-49ee-8ff2-088f8acbe370"	"mobsnvf"	0.795451164372283	0.138405848627249
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"somaticsniper"	"58a0b3bd-11d8-49ee-8ff2-088f8acbe370"	"vafsnvf"	0.382626332931307	0.022194649971505
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"somaticsniper"	"58a0b3bd-11d8-49ee-8ff2-088f8acbe370"	"sobdetector"	0.761587934946026	0.0768007602210653
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"somaticsniper"	"58a0b3bd-11d8-49ee-8ff2-088f8acbe370"	"microsec"	0.589811808961098	0.0369525589859307
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"varscan2"	"430e1f07-2926-4cbd-b56f-7c5500d9cfc1"	"mobsnvf"	0.863401300236405	0.127308159753007
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"varscan2"	"430e1f07-2926-4cbd-b56f-7c5500d9cfc1"	"vafsnvf"	0.821513002364068	0.160556734804242
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"varscan2"	"430e1f07-2926-4cbd-b56f-7c5500d9cfc1"	"sobdetector"	0.711879432624114	0.0425235525448695
"30f276a8-3a4b-4de8-aea0-7f605d100401"	"varscan2"	"430e1f07-2926-4cbd-b56f-7c5500d9cfc1"	"microsec"	0.582151300236404	0.0335129467010041
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"muse"	"310a7095-a693-4374-913d-9ecd64943761"	"mobsnvf"	0.730276134122286	0.480676429004974
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"muse"	"310a7095-a693-4374-913d-9ecd64943761"	"vafsnvf"	0.787804076265617	0.63693953848308
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"muse"	"310a7095-a693-4374-913d-9ecd64943761"	"sobdetector"	0.661160420775806	0.380108232733946
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"muse"	"310a7095-a693-4374-913d-9ecd64943761"	"microsec"	0.708333333333333	0.434514314893618
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"mutect2"	"d68761a5-54a7-439c-94d2-44cfc901d911"	"mobsnvf"	0.891276500508713	0.342829675510752
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"mutect2"	"d68761a5-54a7-439c-94d2-44cfc901d911"	"vafsnvf"	0.892189352322745	0.278541713239761
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"mutect2"	"d68761a5-54a7-439c-94d2-44cfc901d911"	"sobdetector"	0.419373889454058	0.0575230184096125
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"mutect2"	"d68761a5-54a7-439c-94d2-44cfc901d911"	"microsec"	0.500000000000025	0.070888468809072
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"somaticsniper"	"cf9257d2-9d4d-4062-857b-9f5a7684e410"	"mobsnvf"	0.6529118668626	0.263073267053165
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a"	"somaticsniper"	"cf9257d2-9d4d-4062-857b-9f5a7684e410"	"vafsnvf"	0.391198283594464	0.104420032124722
